date,date_value,Month Label,Value,Percentage,Previous percentage,Percentage delta,Comparison date,Comparison label,Is first snapshot,selected_date
2027-03-15,2027-03-15,15 Mar 2027,01. Bescherming gezondheid burgers,88.0,88.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,02. Gevolgen voor toegang tot zorg,87.0,87.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,03. Bescherming kwetsbare groepen,86.0,86.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,04. Transparantie,83.0,83.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,05. Wetenschappelijke zekerheid,77.0,77.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,07. Uitvoerbaarheid en naleefbaarheid,68.0,68.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,08. Lange termijneffecten,62.0,62.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,09. Sociale gevolgen,61.0,61.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,10. Vertrouwen,61.0,61.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,11. Economische gevolgen,53.0,53.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,12. Ongelijkheid en rechtvaardigheid,50.0,50.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,13. Gevolgen vrijheid en autonomie,40.0,40.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-29,2027-03-29,29 Mar 2027,01. Bescherming gezondheid burgers,88.0,88.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,02. Gevolgen voor toegang tot zorg,87.0,87.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,03. Bescherming kwetsbare groepen,86.0,86.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,04. Transparantie,83.0,83.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,05. Wetenschappelijke zekerheid,77.0,77.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,07. Uitvoerbaarheid en naleefbaarheid,68.0,68.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,08. Lange termijneffecten,62.0,62.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,09. Sociale gevolgen,61.0,61.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,10. Vertrouwen,61.0,61.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,11. Economische gevolgen,53.0,53.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,12. Ongelijkheid en rechtvaardigheid,50.0,50.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,13. Gevolgen vrijheid en autonomie,40.0,40.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-04-12,2027-04-12,12 Apr 2027,01. Bescherming gezondheid burgers,88.0,88.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,02. Gevolgen voor toegang tot zorg,87.0,87.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,03. Bescherming kwetsbare groepen,86.0,86.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,04. Transparantie,83.0,83.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,05. Wetenschappelijke zekerheid,77.0,77.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,07. Uitvoerbaarheid en naleefbaarheid,68.0,68.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,08. Lange termijneffecten,62.0,62.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,09. Sociale gevolgen,61.0,61.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,10. Vertrouwen,61.0,61.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,11. Economische gevolgen,53.0,53.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,12. Ongelijkheid en rechtvaardigheid,50.0,50.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-12,2027-04-12,12 Apr 2027,13. Gevolgen vrijheid en autonomie,40.0,40.0,0.0,2027-03-29,29 Mar 2027,False,2027-04-12
2027-04-26,2027-04-26,26 Apr 2027,01. Bescherming gezondheid burgers,88.0,88.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,02. Gevolgen voor toegang tot zorg,87.0,87.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,03. Bescherming kwetsbare groepen,86.0,86.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,04. Transparantie,83.0,83.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,05. Wetenschappelijke zekerheid,77.0,77.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,07. Uitvoerbaarheid en naleefbaarheid,68.0,68.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,08. Lange termijneffecten,62.0,62.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,09. Sociale gevolgen,61.0,61.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,10. Vertrouwen,61.0,61.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,11. Economische gevolgen,53.0,53.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,12. Ongelijkheid en rechtvaardigheid,50.0,50.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-04-26,2027-04-26,26 Apr 2027,13. Gevolgen vrijheid en autonomie,40.0,40.0,0.0,2027-04-12,12 Apr 2027,False,2027-04-26
2027-05-10,2027-05-10,10 May 2027,01. Bescherming gezondheid burgers,88.0,88.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,02. Gevolgen voor toegang tot zorg,87.0,87.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,03. Bescherming kwetsbare groepen,86.0,86.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,04. Transparantie,83.0,83.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,05. Wetenschappelijke zekerheid,77.0,77.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,07. Uitvoerbaarheid en naleefbaarheid,68.0,68.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,08. Lange termijneffecten,62.0,62.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,09. Sociale gevolgen,61.0,61.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,10. Vertrouwen,61.0,61.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,11. Economische gevolgen,53.0,53.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,12. Ongelijkheid en rechtvaardigheid,50.0,50.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-10,2027-05-10,10 May 2027,13. Gevolgen vrijheid en autonomie,40.0,40.0,0.0,2027-04-26,26 Apr 2027,False,2027-05-10
2027-05-24,2027-05-24,24 May 2027,01. Bescherming gezondheid burgers,88.0,88.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,02. Gevolgen voor toegang tot zorg,87.0,87.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,03. Bescherming kwetsbare groepen,86.0,86.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,04. Transparantie,83.0,83.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,05. Wetenschappelijke zekerheid,77.0,77.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,07. Uitvoerbaarheid en naleefbaarheid,68.0,68.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,08. Lange termijneffecten,62.0,62.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,09. Sociale gevolgen,61.0,61.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,10. Vertrouwen,61.0,61.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,11. Economische gevolgen,53.0,53.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,12. Ongelijkheid en rechtvaardigheid,50.0,50.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-05-24,2027-05-24,24 May 2027,13. Gevolgen vrijheid en autonomie,40.0,40.0,0.0,2027-05-10,10 May 2027,False,2027-05-24
2027-06-07,2027-06-07,07 Jun 2027,13. Gevolgen vrijheid en autonomie,47.0,40.0,7.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,08. Lange termijneffecten,67.0,62.0,5.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,09. Sociale gevolgen,65.0,61.0,4.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,11. Economische gevolgen,56.00000000000001,53.0,3.000000000000007,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,10. Vertrouwen,61.0,61.0,0.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,05. Wetenschappelijke zekerheid,76.0,77.0,-1.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,12. Ongelijkheid en rechtvaardigheid,49.0,50.0,-1.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,07. Uitvoerbaarheid en naleefbaarheid,66.0,68.0,-2.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,03. Bescherming kwetsbare groepen,81.0,86.0,-5.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,01. Bescherming gezondheid burgers,81.0,88.0,-7.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,02. Gevolgen voor toegang tot zorg,80.0,87.0,-7.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-07,2027-06-07,07 Jun 2027,04. Transparantie,75.0,83.0,-8.0,2027-05-24,24 May 2027,False,2027-06-07
2027-06-21,2027-06-21,21 Jun 2027,01. Bescherming gezondheid burgers,81.0,81.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,02. Gevolgen voor toegang tot zorg,80.0,80.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,03. Bescherming kwetsbare groepen,81.0,81.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,04. Transparantie,75.0,75.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,05. Wetenschappelijke zekerheid,76.0,76.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,07. Uitvoerbaarheid en naleefbaarheid,66.0,66.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,08. Lange termijneffecten,67.0,67.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,09. Sociale gevolgen,65.0,65.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,10. Vertrouwen,61.0,61.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,11. Economische gevolgen,56.00000000000001,56.00000000000001,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,12. Ongelijkheid en rechtvaardigheid,49.0,49.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-06-21,2027-06-21,21 Jun 2027,13. Gevolgen vrijheid en autonomie,47.0,47.0,0.0,2027-06-07,07 Jun 2027,False,2027-06-21
2027-07-05,2027-07-05,05 Jul 2027,01. Bescherming gezondheid burgers,81.0,81.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,02. Gevolgen voor toegang tot zorg,80.0,80.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,03. Bescherming kwetsbare groepen,81.0,81.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,04. Transparantie,75.0,75.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,05. Wetenschappelijke zekerheid,76.0,76.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,07. Uitvoerbaarheid en naleefbaarheid,66.0,66.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,08. Lange termijneffecten,67.0,67.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,09. Sociale gevolgen,65.0,65.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,10. Vertrouwen,61.0,61.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,11. Economische gevolgen,56.00000000000001,56.00000000000001,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,12. Ongelijkheid en rechtvaardigheid,49.0,49.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-05,2027-07-05,05 Jul 2027,13. Gevolgen vrijheid en autonomie,47.0,47.0,0.0,2027-06-21,21 Jun 2027,False,2027-07-05
2027-07-19,2027-07-19,19 Jul 2027,01. Bescherming gezondheid burgers,81.0,81.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,02. Gevolgen voor toegang tot zorg,80.0,80.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,03. Bescherming kwetsbare groepen,81.0,81.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,04. Transparantie,75.0,75.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,05. Wetenschappelijke zekerheid,76.0,76.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,07. Uitvoerbaarheid en naleefbaarheid,66.0,66.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,08. Lange termijneffecten,67.0,67.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,09. Sociale gevolgen,65.0,65.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,10. Vertrouwen,61.0,61.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,11. Economische gevolgen,56.00000000000001,56.00000000000001,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,12. Ongelijkheid en rechtvaardigheid,49.0,49.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-07-19,2027-07-19,19 Jul 2027,13. Gevolgen vrijheid en autonomie,47.0,47.0,0.0,2027-07-05,05 Jul 2027,False,2027-07-19
2027-08-09,2027-08-09,09 Aug 2027,01. Bescherming gezondheid burgers,81.0,81.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,02. Gevolgen voor toegang tot zorg,80.0,80.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,03. Bescherming kwetsbare groepen,81.0,81.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,04. Transparantie,75.0,75.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,05. Wetenschappelijke zekerheid,76.0,76.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,06. Gevolgen mentale gezondheid en welzijn,70.0,70.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,07. Uitvoerbaarheid en naleefbaarheid,66.0,66.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,08. Lange termijneffecten,67.0,67.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,09. Sociale gevolgen,65.0,65.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,10. Vertrouwen,61.0,61.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,11. Economische gevolgen,56.00000000000001,56.00000000000001,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,12. Ongelijkheid en rechtvaardigheid,49.0,49.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
2027-08-09,2027-08-09,09 Aug 2027,13. Gevolgen vrijheid en autonomie,47.0,47.0,0.0,2027-07-19,19 Jul 2027,False,2027-08-09
